2026-03-02 11:19:12 | Thread-1 (process_request_thread) | MainProcess | DEBUG | info debug
2026-03-02 11:20:14 | Thread-4 (process_request_thread) | MainProcess | DEBUG | info debug
2026-03-02 11:20:30 | Thread-1 (process_request_thread) | MainProcess | DEBUG | info debug prueba de informacion 1234
2026-03-02 15:41:03 | Thread-1 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _Unexpected end of template. Jinja was looking for the following tags_ _endblock_. The innermost block that needs to be closed is _block_.
2026-03-02 15:41:17 | Thread-1 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _Unexpected end of template. Jinja was looking for the following tags_ _endblock_. The innermost block that needs to be closed is _block_.
2026-03-03 08:55:30 | Thread-3 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _Unexpected end of template. Jinja was looking for the following tags_ _elif_ or _else_ or _endif_. The innermost block that needs to be closed is _if_.
2026-03-03 08:57:42 | Thread-1 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:34 | Thread-2 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:35 | Thread-3 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:35 | Thread-4 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:35 | Thread-5 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:35 | Thread-6 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:35 | Thread-7 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:36 | Thread-8 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
2026-03-03 09:09:36 | Thread-9 (process_request_thread) | MainProcess | ERROR | error estudiante_dashboard _extended multiple times
